timestamp,usdt,usdc,wmatic,pol,pol_usd_price,total_value
2026-05-01T16:20:07.764424+00:00,41.233510,22.600629,297.073753,44.158465,0.100000,96.204329
2026-05-01T16:30:08.111907+00:00,41.233510,10.600629,423.830293,44.109266,0.100000,96.070703
2026-05-01T16:40:08.217356+00:00,41.233510,23.597642,284.738186,44.045570,0.100000,95.978035
2026-05-01T16:41:14.764764+00:00,41.233510,11.597642,411.734537,43.991665,0.100000,95.900014
2026-05-01T16:44:00.420974+00:00,41.233510,11.597642,411.734537,43.991665,0.100000,95.900014
2026-05-01T16:45:06.475304+00:00,41.233510,24.598070,272.555472,43.928485,0.100000,95.822566
2026-05-01T16:50:08.951848+00:00,41.233510,24.598070,272.555472,43.928485,0.100000,95.822566
2026-05-01T17:00:09.994221+00:00,41.233510,12.598070,399.555477,43.836706,0.100000,95.741501
2026-05-01T17:07:36.091015+00:00,41.233510,25.598148,260.369748,43.697943,0.100000,95.636632
2026-05-01T17:10:12.364398+00:00,41.233510,13.598148,387.530018,43.664500,0.100000,95.567025
2026-05-01T17:13:46.606139+00:00,41.233510,1.598148,514.679802,43.551617,0.100000,95.488490
2026-05-01T17:15:17.096766+00:00,41.233510,19.584595,322.179617,43.489064,0.100000,95.402924
2026-05-01T17:16:57.974468+00:00,41.233510,19.584595,322.179617,43.489064,0.100000,95.403246
2026-05-01T17:20:07.621364+00:00,41.233510,7.584595,449.334789,43.453106,0.100000,95.333036
2026-05-01T17:21:33.697724+00:00,41.233510,25.591756,256.748881,43.344569,0.100000,95.255349
2026-05-01T17:29:55.421433+00:00,41.233510,13.591756,383.814934,43.310916,0.100000,95.178541
2026-05-01T17:30:11.292870+00:00,41.233510,13.591756,383.814934,43.310916,0.100000,95.178541
2026-05-01T17:36:17.160483+00:00,41.233510,1.591756,510.859111,43.217697,0.100000,95.092696
2026-05-01T17:40:08.323139+00:00,41.233510,19.601548,318.270272,43.153901,0.100000,95.046530
2026-05-01T17:45:10.563461+00:00,41.233510,7.601548,445.167204,43.059696,0.100000,94.986745
2026-05-01T17:50:07.983338+00:00,41.233510,25.599180,252.930957,42.917129,0.100000,94.899913
2026-05-01T17:52:57.319042+00:00,41.233510,13.599180,379.829817,42.881219,0.100000,94.824815
2026-05-01T17:55:42.149300+00:00,41.233510,1.599180,506.718225,42.847937,0.100000,94.749504
2026-05-01T17:58:11.055762+00:00,41.233510,19.598507,314.476850,42.777202,0.100000,94.712072
2026-05-01T18:00:07.368884+00:00,41.233510,7.598507,441.165770,42.743540,0.100000,94.634187
2026-05-01T18:01:59.514390+00:00,41.233510,7.598507,441.165770,42.743540,0.100000,94.634187
